abv,brewery,date_added,name,num_ratings,rating,state,style,town,abv_range,category,year_added,ale
0.124,3 Stars Brewing Company,3/16/2016,3 Stars Madness (toasted cardamom and juniper berries),3,3.18,DC,Old Ale,Washington,8% and more,Strong Ale,2016,1
0.08,3 Stars Brewing Company,2/27/2018,3 Stars Natural Mystic,4,3.4,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2018,1
0.05,3 Stars Brewing Company,11/21/2013,3 Stars Nectar of the Bogs,29,3.23,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2013,1
0.09,3 Stars Brewing Company,9/10/2018,3 Stars Nerf Guns,1,3.04,DC,Stout - Imperial,Washington,8% and more,Porter / Stout,2018,0
0.058,3 Stars Brewing Company,3/2/2014,3 Stars Northern Hemisphere Samsquanch,2,2.92,DC,IPA,Washington,5-6%,IPA,2014,1
0.075,3 Stars Brewing Company,1/5/2019,3 Stars Nuthin' But Dem Lacs,2,3.07,DC,IPA,Washington,7-8%,IPA,2019,1
0.043,3 Stars Brewing Company,9/10/2018,3 Stars Orange and Coriander Saison,1,3.0,DC,Saison / Farmhouse / Grisette,Washington,4-5%,Farmhouse Ale,2018,1
0.096,3 Stars Brewing Company,5/31/2011,3 Stars Pandemic Breakfast Porter,43,3.57,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2011,0
0.097,3 Stars Brewing Company,8/9/2013,3 Stars Pandemic Breakfast Porter (Cherry Wood),2,3.0,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.096,3 Stars Brewing Company,8/14/2012,3 Stars Pandemic Breakfast Porter (Cocoa),7,3.2,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2012,0
0.096,3 Stars Brewing Company,8/12/2012,3 Stars Pandemic Breakfast Porter (Toasted Oak),4,2.98,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2012,0
0.096,3 Stars Brewing Company,2/27/2013,3 Stars Pandemic Breakfast Porter (Vanilla Beans),1,2.9,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.096,3 Stars Brewing Company,11/7/2012,3 Stars Pandemic Breakfast Porter (Woodford Reserve),2,2.93,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2012,0
0.065,3 Stars Brewing Company,11/18/2015,3 Stars Peppercorn Saison (Apricots),1,3.0,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2015,1
0.065,3 Stars Brewing Company,10/6/2015,3 Stars Peppercorn Saison (Blue Plums),1,3.11,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2015,1
0.065,3 Stars Brewing Company,8/10/2015,3 Stars Peppercorn Saison (Cherries),5,3.12,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2015,1
0.065,3 Stars Brewing Company,8/25/2017,3 Stars Peppercorn Saison (Orange Peel),2,3.05,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2017,1
0.06,3 Stars Brewing Company,10/28/2015,3 Stars Persica Rising,3,3.07,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2015,1
0.053,3 Stars Brewing Company,3/7/2014,3 Stars Phoenix Rye Saison,13,3.34,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2014,1
0.068,3 Stars Brewing Company,8/23/2018,3 Stars Pinkies Up,2,3.11,DC,Sour / Wild Beer,Washington,6-7%,Sour,2018,0
0.08,3 Stars Brewing Company,9/21/2016,3 Stars Pounding Trees,19,3.52,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2016,1
0.087,3 Stars Brewing Company,5/8/2014,3 Stars Queen of the Damned,5,3.21,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2014,1
0.07400000000000001,3 Stars Brewing Company,8/10/2018,3 Stars Sabertooth Unicorn,2,3.19,DC,Sour / Wild Beer,Washington,7-8%,Sour,2018,0
0.051,3 Stars Brewing Company,7/16/2014,3 Stars Sansho Panza,3,3.04,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2014,1
0.069,3 Stars Brewing Company,11/7/2012,3 Stars Sea Change,8,3.2,DC,Pale Ale - American / APA,Washington,6-7%,Pale Ale,2012,1
0.069,3 Stars Brewing Company,4/24/2013,3 Stars Sea Change (Oak),3,3.05,DC,Pale Ale - American / APA,Washington,6-7%,Pale Ale,2013,1
0.085,3 Stars Brewing Company,3/30/2018,3 Stars Sonic Hummingbird,5,3.09,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2018,1
0.087,3 Stars Brewing Company,8/10/2012,3 Stars Southern Belle,50,3.54,DC,Brown Ale,Washington,8% and more,Amber Ale,2012,1
0.087,3 Stars Brewing Company,8/12/2012,3 Stars Southern Belle (Lightly Toasted Oak),2,2.87,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2012,1
0.087,3 Stars Brewing Company,4/20/2015,"3 Stars Southern Belle (Toasted Coconut, Cocoa Nibs)",2,3.18,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2015,1
0.087,3 Stars Brewing Company,8/10/2012,3 Stars Southern Belle (Vanilla Beans),1,2.84,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2012,1
0.087,3 Stars Brewing Company,11/3/2018,3 Stars Southern Belle with Pecan,1,2.89,DC,Brown Ale,Washington,8% and more,Amber Ale,2018,1
0.08,3 Stars Brewing Company,1/18/2017,3 Stars Star Dust,11,3.41,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2017,1
0.085,3 Stars Brewing Company,1/17/2018,3 Stars Starsky & Brunch,3,3.28,DC,Stout - Imperial,Washington,8% and more,Porter / Stout,2018,0
0.083,3 Stars Brewing Company,11/13/2015,3 Stars Starsky and Dutch,31,3.69,DC,Stout - Imperial,Washington,8% and more,Porter / Stout,2015,0
0.08,3 Stars Brewing Company,8/25/2017,3 Stars Technicolor Life,7,3.36,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2017,1
0.092,3 Stars Brewing Company,5/31/2011,3 Stars The Double Dipper,1,2.93,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2011,1
0.05,3 Stars Brewing Company,6/25/2013,3 Stars The Movement,9,3.12,DC,Pale Ale - American / APA,Washington,5-6%,Pale Ale,2013,1
0.058,3 Stars Brewing Company,10/29/2013,3 Stars The Samsquanch,13,3.27,DC,IPA,Washington,5-6%,IPA,2013,1
0.058,3 Stars Brewing Company,1/9/2014,3 Stars The Samsquanch (Lemon Balm),1,2.83,DC,IPA,Washington,5-6%,IPA,2014,1
0.06,3 Stars Brewing Company,5/31/2011,3 Stars The Syndicate,9,3.08,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2011,1
0.065,3 Stars Brewing Company,8/10/2012,3 Stars The Urban Farmhouse,71,3.35,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2012,1
0.065,3 Stars Brewing Company,12/3/2014,3 Stars The Urban Farmhouse (Cranberries & Bitter Orange Peel),1,2.86,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2014,1
0.065,3 Stars Brewing Company,6/12/2014,3 Stars The Urban Farmhouse (Heather Tips),3,2.93,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2014,1
0.065,3 Stars Brewing Company,6/11/2014,3 Stars The Urban Farmhouse (Juniper and Bitter Orange Peel),1,2.9,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2014,1
0.065,3 Stars Brewing Company,9/23/2012,3 Stars The Urban Farmhouse (Lemon Peel and Citra Hops),4,3.11,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2012,1
0.065,3 Stars Brewing Company,8/31/2012,3 Stars The Urban Farmhouse (Orange Peel & Centennial),1,2.84,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2012,1
0.065,3 Stars Brewing Company,8/17/2017,3 Stars Trouble in Paradise,24,3.55,DC,Sour / Wild Beer,Washington,6-7%,Sour,2017,0
0.08,3 Stars Brewing Company,4/11/2013,3 Stars Two To The Dome,36,3.52,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2013,1
0.1,3 Stars Brewing Company,8/20/2014,3 Stars Two to the Dome (Apple Brandy Barrel),2,3.0,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2014,1
0.08,3 Stars Brewing Company,7/9/2013,3 Stars Two to the Dome (Coffee),2,3.0,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2013,1
0.08,3 Stars Brewing Company,7/25/2013,3 Stars Two to the Dome (Virginia White Oak in Barbancourt Rum),3,3.07,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2013,1
0.08900000000000001,3 Stars Brewing Company,12/23/2016,3 Stars Two to the Dome - Double Dry Hopped,5,3.45,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2016,1
0.102,3 Stars Brewing Company,1/8/2014,3 Stars Vinsanity,1,2.94,DC,Strong Ale - English,Washington,8% and more,Strong Ale,2014,1
