abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.068, 3 Stars Brewing Company,10/12/2016,www.ratebeer.com/beer/3-stars-2016-illuminati-3/456310/,3 Stars 2016 Illuminati #3,0,,Sour / Wild Beer,
0.09, 3 Stars Brewing Company,12/29/2016,www.ratebeer.com/beer/3-stars-2016-illuminati-4/475359/,3 Stars 2016 Illuminati #4,1,2.85,Stout - Imperial,
0.07, 3 Stars Brewing Company,12/29/2016,www.ratebeer.com/beer/3-stars-2016-illuminati-5/475361/,3 Stars 2016 Illuminati #5,1,2.87,Sour / Wild Beer,
0.025, 3 Stars Brewing Company,8/9/2014,www.ratebeer.com/beer/3-stars-51-statehood-radler/280828/,3 Stars 51 Statehood Radler,0,,Radler / Shandy,
0.077, 3 Stars Brewing Company,7/9/2018,www.ratebeer.com/beer/3-stars-77-sevilles/636625/,3 Stars 77 Sevilles,3,3.25,IIPA - Imperial / Double IPA,
0.072, 3 Stars Brewing Company,5/10/2018,www.ratebeer.com/beer/3-stars-7739s-bonnevilles/617021/,3 Stars 77's & Bonnevilles,1,3.02,IPA,
0.08, 3 Stars Brewing Company,5/13/2018,www.ratebeer.com/beer/3-stars-80839s/618042/,3 Stars 808's,3,3.1,IIPA - Imperial / Double IPA,
0.063, 3 Stars Brewing Company,3/23/2015,www.ratebeer.com/beer/3-stars-above-the-clouds/322642/,3 Stars Above the Clouds,49,3.58,Saison / Farmhouse / Grisette,88.0
0.08, 3 Stars Brewing Company,11/11/2011,www.ratebeer.com/beer/3-stars-bw-rye-2/158518/,3 Stars B.W. Rye #2,5,3.01,Specialty Grain - Other,
0.08, 3 Stars Brewing Company,12/13/2011,www.ratebeer.com/beer/3-stars-bw-rye-2-barrel-aged/161062/,3 Stars B.W. Rye #2 Barrel Aged,2,2.86,Porter,
0.058, 3 Stars Brewing Company,2/9/2012,www.ratebeer.com/beer/3-stars-bw-rye-3/165729/,3 Stars B.W. Rye #3,4,3.04,Saison / Farmhouse / Grisette,
0.058, 3 Stars Brewing Company,2/9/2012,www.ratebeer.com/beer/3-stars-bw-rye-3-citra-lemon-peel/165783/,3 Stars B.W. Rye #3 (Citra & lemon peel),3,3.07,Saison / Farmhouse / Grisette,
0.02, 3 Stars Brewing Company,3/23/2013,www.ratebeer.com/beer/3-stars-bw-rye-4-rye-gose/206326/,3 Stars B.W. Rye #4 (Rye Gose),8,2.96,Gose,
