abv,address,brewery,country,date_added,google_map_link,link,name,num_ratings,postal_code,rating,state,style,style_rating,town
0.096,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,11/13/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-qualia-coffee-desolation/298903/,3 Stars / Qualia Coffee Desolation,23,20011,3.32,Washington DC,Porter - Imperial,16.0,"Washington, DC"
,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,6/3/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-rar-doco-district-ipa/423456/,3 Stars / RAR DoCo District IPA,7,20011,3.45,Washington DC,IPA,,"Washington, DC"
0.092,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/21/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2014-illuminati-series-1/266724/,3 Stars 2014 Illuminati Series #1,8,20011,3.25,Washington DC,Strong Ale - American,26.0,"Washington, DC"
0.057,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,7/27/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2014-illuminati-series-2/278475/,3 Stars 2014 Illuminati Series #2,4,20011,2.87,Washington DC,Pale Ale - American / APA,,"Washington, DC"
0.08,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,11/13/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2014-illuminati-series-3/298904/,3 Stars 2014 Illuminati Series #3,4,20011,3.06,Washington DC,IIPA - Imperial / Double IPA,,"Washington, DC"
,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,1/14/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2014-illuminati-series-4/309919/,3 Stars 2014 Illuminati Series #4,9,20011,3.35,Washington DC,Strong Ale - American,,"Washington, DC"
,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,1/14/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2014-illuminati-series-5/309918/,3 Stars 2014 Illuminati Series #5,5,20011,3.24,Washington DC,Strong Ale - American,,"Washington, DC"
0.124,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,3/23/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2015-illuminati-1/322611/,3 Stars 2015 Illuminati #1,8,20011,3.35,Washington DC,Strong Ale - American,38.0,"Washington, DC"
0.081,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,7/19/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2015-illuminati-2/348310/,3 Stars 2015 Illuminati #2,4,20011,3.21,Washington DC,Stout - Imperial,,"Washington, DC"
0.067,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,9/21/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2015-illuminati-3/362402/,3 Stars 2015 Illuminati #3,1,20011,2.81,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
